"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
427,CEMENT AND CONCRETE RESEARCH,"38,685",8.328,0.019610
428,REVIEW OF EDUCATIONAL RESEARCH,"10,089",8.327,0.007350
429,CLINICAL INFECTIOUS DISEASES,"66,656",8.313,0.123950
430,CHEST,"48,091",8.308,0.046690
431,ADMINISTRATIVE SCIENCE QUARTERLY,"19,173",8.304,0.007980
432,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,"6,467",8.302,0.005560
433,CURRENT OPINION IN BIOTECHNOLOGY,"15,740",8.288,0.023650
434,Advanced Optical Materials,"13,352",8.286,0.035990
435,BIOSCIENCE,"19,070",8.282,0.014280
436,ECONOMIC GEOGRAPHY,"3,575",8.279,0.003050
437,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,"30,658",8.277,0.034900
438,Perspectives on Psychological Science,"10,478",8.275,0.022380
439,IEEE Transactions on Smart Grid,"26,670",8.267,0.050700
440,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,"30,621",8.263,0.028540
441,JOURNAL OF POWER SOURCES,"125,055",8.247,0.131930
442,CURRENT OPINION IN CELL BIOLOGY,"13,508",8.240,0.023750
443,PERSOONIA,"1,860",8.227,0.003760
444,Biofabrication,"4,311",8.213,0.007470
445,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,"7,274",8.210,0.006270
446,ENERGY CONVERSION AND MANAGEMENT,"62,270",8.208,0.079530
447,Astrophysical Journal Letters,"35,962",8.201,0.092210
448,Nano Research,"19,099",8.183,0.038930
449,CARDIOVASCULAR RESEARCH,"21,526",8.168,0.019970
450,EPIDEMIOLOGIC REVIEWS,"3,447",8.160,0.003040
451,PLANT BIOTECHNOLOGY JOURNAL,"9,587",8.154,0.018480
452,CURRENT OPINION IN MICROBIOLOGY,"10,819",8.134,0.020610
453,NPG Asia Materials,"5,176",8.131,0.011750
454,Cell Reports,"51,090",8.109,0.255180
455,CRITICAL REVIEWS IN BIOTECHNOLOGY,"4,355",8.108,0.006090
456,RESOURCES CONSERVATION AND RECYCLING,"17,121",8.086,0.016020
457,Annual Review of Environment and Resources,"4,465",8.065,0.005370
457,Annual Review of Environment and Resources,"4,465",8.065,0.005370
459,Blood Cancer Journal,"2,800",8.023,0.010410
460,Annual Review of Virology,"1,094",8.021,0.005500
461,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,"15,422",8.019,0.009100
462,ACM COMPUTING SURVEYS,"8,677",7.990,0.012660
463,ONCOGENE,"66,303",7.971,0.068380
464,ChemSusChem,"27,554",7.962,0.048160
465,JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,"13,101",7.959,0.007430
466,SCHIZOPHRENIA BULLETIN,"17,703",7.958,0.027120
466,SCHIZOPHRENIA BULLETIN,"17,703",7.958,0.027120
468,ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"29,046",7.950,0.043370
469,RADIOLOGY,"52,731",7.931,0.057310
470,IEEE Vehicular Technology Magazine,"1,701",7.921,0.004220
471,Clinical and Translational Medicine,"1,349",7.919,0.003280
472,Cochrane Database of Systematic Reviews,"67,763",7.890,0.134550
473,JOURNAL OF CATALYSIS,"49,686",7.888,0.033450
474,JOURNAL OF NUCLEAR MEDICINE,"26,844",7.887,0.033070
475,JOURNAL OF HEART AND LUNG TRANSPLANTATION,"12,465",7.865,0.028190
476,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"187,995",7.864,0.170420
477,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,"15,322",7.862,0.017060
478,BRITISH JOURNAL OF PSYCHIATRY,"24,378",7.850,0.020550
478,BRITISH JOURNAL OF PSYCHIATRY,"24,378",7.850,0.020550
480,BROOKINGS PAPERS ON ECONOMIC ACTIVITY,"3,128",7.800,0.006330
481,Reviews in Aquaculture,"1,887",7.772,0.002520
482,AUTOIMMUNITY REVIEWS,"9,902",7.767,0.018320
483,CANADIAN MEDICAL ASSOCIATION JOURNAL,"15,212",7.744,0.016180
484,Gut Microbes,"4,013",7.740,0.008840
485,Cell Chemical Biology,"3,326",7.739,0.015780
486,JAMA Dermatology,"5,680",7.738,0.018160
487,BRITISH JOURNAL OF PHARMACOLOGY,"34,041",7.730,0.031300
488,JOURNAL OF CONTROLLED RELEASE,"49,132",7.727,0.051330
489,Neurology-Neuroimmunology & Neuroinflammation,"2,232",7.724,0.008410
490,ECOLOGICAL MONOGRAPHS,"11,572",7.722,0.008100
491,DIABETES,"53,463",7.720,0.053290
492,PERIODONTOLOGY 2000,"5,159",7.718,0.006380
493,npj Precision Oncology,500,7.717,0.001520
494,HYPERTENSION,"36,242",7.713,0.043910
495,Computer Science Review,940,7.707,0.002080
495,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,"24,910",7.707,0.049190
497,PROGRESS IN PHOTOVOLTAICS,"7,394",7.690,0.008860
498,Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,"2,819",7.689,0.004240
499,Environmental Science-Nano,"5,669",7.683,0.012560
500,Environmental Science & Technology Letters,"3,696",7.678,0.011790
501,ACTA MATERIALIA,"81,679",7.656,0.092240
502,AMERICAN JOURNAL OF BIOETHICS,"2,397",7.647,0.003660
502,AMERICAN JOURNAL OF BIOETHICS,"2,397",7.647,0.003660
504,NUTRITION RESEARCH REVIEWS,"2,623",7.641,0.002190
505,Cold Spring Harbor Perspectives in Biology,"17,373",7.640,0.034780
506,COMPOSITES PART B-ENGINEERING,"37,998",7.635,0.045420
507,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,"3,676",7.634,0.006350
508,ACS Sustainable Chemistry & Engineering,"41,078",7.632,0.077430
509,JOURNAL OF BUSINESS VENTURING,"12,662",7.590,0.008060
510,ENVIRONMENT INTERNATIONAL,"29,467",7.577,0.037790
511,Journal of Allergy and Clinical Immunology-In Practice,"5,946",7.574,0.018120
512,Particle and Fibre Toxicology,"4,427",7.546,0.005160
513,Advances in Catalysis,"1,510",7.545,0.000490
514,BIORESOURCE TECHNOLOGY,"131,781",7.539,0.108300
515,Solar RRL,"2,406",7.527,0.005730
516,ACADEMY OF MANAGEMENT JOURNAL,"40,818",7.525,0.028720
517,DIABETOLOGIA,"31,115",7.518,0.040750
518,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,"21,233",7.515,0.032890
518,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,"64,150",7.515,0.105050
520,IEEE Transactions on Affective Computing,"2,375",7.512,0.003140
521,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,"3,992",7.500,0.005970
522,EMBO REPORTS,"14,976",7.497,0.030270
523,Nanophotonics,"2,940",7.491,0.008420
524,JOURNAL OF COLLOID AND INTERFACE SCIENCE,"80,900",7.489,0.058460
525,Seminars in Immunopathology,"3,734",7.480,0.006690
526,IEEE CONTROL SYSTEMS MAGAZINE,"3,980",7.471,0.004540
527,Journal of Stroke,"1,247",7.470,0.004240
528,Topics in Current Chemistry,"6,313",7.455,0.008840
529,IEEE Transactions on Sustainable Energy,"10,001",7.440,0.021620
530,TOURISM MANAGEMENT,"25,990",7.432,0.014210
531,CRITICAL CARE MEDICINE,"40,141",7.414,0.051920
532,Advanced Healthcare Materials,"11,883",7.367,0.027560
533,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,"5,650",7.365,0.007800
534,CANCER LETTERS,"34,162",7.360,0.044470
535,CRITICAL REVIEWS IN MICROBIOLOGY,"3,012",7.349,0.004510
536,ENDOSCOPY,"10,838",7.341,0.015640
537,AMERICAN JOURNAL OF TRANSPLANTATION,"25,598",7.338,0.046240
538,ACS Sensors,"6,209",7.333,0.015800
539,Cardiovascular Diabetology,"6,179",7.332,0.011390
540,Journal of Occupational Health Psychology,"4,468",7.329,0.005710
541,DRUG DISCOVERY TODAY,"15,022",7.321,0.020720
542,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,"13,946",7.319,0.022250
543,Obesity Reviews,"12,534",7.310,0.020330
543,Virtual and Physical Prototyping,"1,294",7.310,0.002100
545,Polymer Reviews,"2,229",7.304,0.002040
546,CLINICAL CHEMISTRY,"27,048",7.292,0.020300
547,CURRENT OPINION IN IMMUNOLOGY,"9,628",7.290,0.016880
548,npj Quantum Information,"1,505",7.286,0.007700
549,EUROPEAN JOURNAL OF CANCER,"32,241",7.275,0.048240
550,Advances in Nutrition,"6,142",7.265,0.011790
551,METABOLIC ENGINEERING,"8,068",7.263,0.016060
552,JOURNAL OF CLEANER PRODUCTION,"104,138",7.246,0.129100
553,FORBES,"3,694",7.245,0.012640
554,Annual Review of Genomics and Human Genetics,"2,679",7.243,0.005190
555,Acta Biomaterialia,"39,268",7.242,0.050750
556,AGING CELL,"10,094",7.238,0.018360
557,Journal of Energy Chemistry,"5,057",7.216,0.007960
558,PHYSIOLOGY,"3,583",7.212,0.005380
559,Neurobiology of Stress,"1,055",7.197,0.003840
560,PATTERN RECOGNITION,"28,857",7.196,0.033910
561,PROGRESS IN QUANTUM ELECTRONICS,"1,246",7.190,0.001310
561,STROKE,"66,466",7.190,0.078080
563,JOURNAL OF MEMBRANE SCIENCE,"73,533",7.183,0.056030
564,CARBOHYDRATE POLYMERS,"79,342",7.182,0.071330
565,JOURNAL OF INVESTIGATIVE DERMATOLOGY,"30,375",7.143,0.034180
566,2D Materials,"6,616",7.140,0.025310
567,Advances in Parasitology,"2,212",7.137,0.003290
568,HARVARD LAW REVIEW,"6,511",7.136,0.005910
568,PROGRESS IN SURFACE SCIENCE,"1,907",7.136,0.001660
570,EUROPEAN JOURNAL OF EPIDEMIOLOGY,"8,883",7.135,0.019480
571,CLINICAL MICROBIOLOGY AND INFECTION,"19,393",7.117,0.038060
572,HAEMATOLOGICA,"17,314",7.116,0.034710
573,Journal of Magnesium and Alloys,"1,494",7.115,0.002280
574,AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,"2,288",7.101,0.005350
575,SENSORS AND ACTUATORS B-CHEMICAL,"97,548",7.100,0.117790
576,DESALINATION,"44,845",7.098,0.027840
577,Acta Pharmaceutica Sinica B,"3,560",7.097,0.006590
578,COMPOSITES SCIENCE AND TECHNOLOGY,"36,695",7.094,0.024630
579,JOURNAL OF TRAVEL MEDICINE,"2,659",7.089,0.006370
580,Gastric Cancer,"5,525",7.088,0.010750
581,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,"15,787",7.081,0.023680
582,eLife,"46,776",7.080,0.287280
583,Cellular and Molecular Gastroenterology and Hepatology,"1,775",7.076,0.006400
583,PLOS BIOLOGY,"31,656",7.076,0.060320
585,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,"9,316",7.068,0.014550
586,ANESTHESIOLOGY,"27,752",7.067,0.027430
586,npj Biofilms and Microbiomes,790,7.067,0.002840
588,Journal of Materials Chemistry C,"50,676",7.059,0.104680
588,Trends in Environmental Analytical Chemistry,346,7.059,0.000740
590,FOOD HYDROCOLLOIDS,"30,169",7.053,0.029920
591,GENOMICS PROTEOMICS & BIOINFORMATICS,"2,224",7.051,0.005960
592,ANTIOXIDANTS & REDOX SIGNALING,"21,034",7.040,0.023920
593,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,"19,837",7.035,0.021110
593,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,"19,837",7.035,0.021110
595,Molecular Therapy-Nucleic Acids,"5,024",7.032,0.013560
596,Journal of Travel Research,"9,816",7.027,0.004580
597,Annual Review of Analytical Chemistry,"2,319",7.023,0.003750
598,npj Regenerative Medicine,417,7.021,0.001630
599,REGIONAL ANESTHESIA AND PAIN MEDICINE,"5,942",7.015,0.008200
600,Additive Manufacturing,"5,146",7.002,0.011410
601,BRITISH JOURNAL OF DERMATOLOGY,"28,429",7.000,0.030300
601,WHO Technical Report Series,"3,561",7.000,0.001200
603,Journal of Advanced Research,"3,564",6.992,0.005470
604,COMMUNICATIONS OF THE ACM,"17,617",6.988,0.010550
605,SOLAR ENERGY MATERIALS AND SOLAR CELLS,"31,687",6.984,0.034410
606,AMERICAN JOURNAL OF HEMATOLOGY,"10,629",6.973,0.023110
607,Essays in Biochemistry,"2,383",6.966,0.005070
608,Educational Research Review,"2,104",6.962,0.003000
609,BULLETIN OF THE WORLD HEALTH ORGANIZATION,"15,508",6.960,0.016280
610,MAYO CLINIC PROCEEDINGS,"15,627",6.942,0.025040
611,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,"19,831",6.936,0.017870
611,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,"19,831",6.936,0.017870
613,TRENDS IN PARASITOLOGY,"6,749",6.918,0.011410
614,Swarm and Evolutionary Computation,"3,774",6.912,0.004220
615,CURRENT OPINION IN STRUCTURAL BIOLOGY,"11,035",6.908,0.021870
616,PLANT PHYSIOLOGY,"87,263",6.902,0.071830
617,Nanoscale,"106,883",6.895,0.207760
618,GASTROINTESTINAL ENDOSCOPY,"22,729",6.890,0.028000
619,BRITISH JOURNAL OF ANAESTHESIA,"21,894",6.880,0.028430
620,RIVISTA DEL NUOVO CIMENTO,774,6.875,0.001420
621,JOURNAL OF INTERNAL MEDICINE,"10,912",6.871,0.014160
622,ACS Photonics,"13,268",6.864,0.048180
622,IEEE Transactions on Dependable and Secure Computing,"2,932",6.864,0.004300
624,Therapeutic Advances in Medical Oncology,"1,894",6.852,0.004270
625,Wiley Interdisciplinary Reviews-RNA,"2,882",6.846,0.008450
626,PSYCHOLOGICAL REVIEW,"29,535",6.844,0.009090
626,PSYCHOLOGICAL REVIEW,"29,535",6.844,0.009090
628,Journal of Supply Chain Management,"3,077",6.842,0.002150
629,JOURNAL OF FINANCE,"40,648",6.813,0.043220
630,Advances in Physics-X,710,6.805,0.002730
631,ENVIRONMENTAL POLLUTION,"60,364",6.793,0.068240
632,CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,"7,487",6.790,0.007070
633,Materials Chemistry Frontiers,"4,081",6.788,0.009340
634,ANALYTICAL CHEMISTRY,"140,785",6.785,0.154880
634,FISH AND FISHERIES,"5,169",6.785,0.009400
636,mBio,"20,578",6.784,0.076130
637,BMC Medicine,"15,204",6.782,0.042550
638,JOURNAL OF CLINICAL IMMUNOLOGY,"5,262",6.780,0.007630
639,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,"29,373",6.779,0.057110
640,LAB ON A CHIP,"32,932",6.774,0.041880
641,AMERICAN JOURNAL OF CLINICAL NUTRITION,"59,398",6.766,0.045390
641,Conservation Letters,"4,652",6.766,0.012750
641,PROGRESS IN HUMAN GEOGRAPHY,"7,497",6.766,0.009500
644,BMC BIOLOGY,"6,441",6.765,0.018840
645,PROGRESS IN CARDIOVASCULAR DISEASES,"4,193",6.763,0.008350
646,NEUROPSYCHOPHARMACOLOGY,"26,281",6.751,0.040740
647,npj Parkinsons Disease,662,6.750,0.002500
648,Applied Mechanics Reviews,"4,433",6.733,0.003360
649,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,"2,220",6.730,0.003810
650,Mucosal Immunology,"7,191",6.726,0.021240
650,TOBACCO CONTROL,"9,207",6.726,0.018600
650,TOBACCO CONTROL,"9,207",6.726,0.018600
653,International Journal of Behavioral Nutrition and Physical Activity,"11,154",6.714,0.018900
654,Journal of Physical Chemistry Letters,"50,054",6.710,0.122710
655,TRANSPORT REVIEWS,"3,455",6.704,0.004210
656,International Journal of Hospitality Management,"11,206",6.701,0.007290
657,European Heart Journal-Cardiovascular Pharmacotherapy,521,6.696,0.001640
658,SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,"11,082",6.691,0.025530
659,IEEE TRANSACTIONS ON MEDICAL IMAGING,"21,657",6.685,0.030280
660,JOURNAL OF AUTOIMMUNITY,"7,159",6.658,0.014200
661,LEADERSHIP QUARTERLY,"10,257",6.642,0.008040
662,BRAIN BEHAVIOR AND IMMUNITY,"16,285",6.633,0.028570
662,mSystems,"2,164",6.633,0.009170
664,ARTIFICIAL INTELLIGENCE,"9,788",6.628,0.007450
664,Clinical Journal of the American Society of Nephrology,"17,405",6.628,0.032690
666,CLINICAL NUCLEAR MEDICINE,"5,042",6.622,0.006220
667,AMERICAN JOURNAL OF KIDNEY DISEASES,"23,230",6.618,0.032560
668,INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,"9,926",6.615,0.006400
669,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,"32,385",6.604,0.032100
669,Comprehensive Physiology,"4,878",6.604,0.009180
671,Materials Research Letters,"2,198",6.600,0.006720
672,Advanced Electronic Materials,"6,041",6.593,0.017460
673,YALE LAW JOURNAL,"5,529",6.586,0.006360
674,JOURNAL OF ECONOMIC LITERATURE,"9,491",6.585,0.012880
675,Molecular Oncology,"6,378",6.574,0.013830
676,Internet and Higher Education,"3,217",6.566,0.003060
677,Brain Stimulation,"6,537",6.565,0.015610
677,CLINICAL PHARMACOLOGY & THERAPEUTICS,"16,750",6.565,0.018300
679,npj Quantum Materials,"1,077",6.562,0.005470
680,SCIENCE OF THE TOTAL ENVIRONMENT,"134,962",6.551,0.179670
681,Advances in Experimental Social Psychology,"5,846",6.550,0.002890
682,PERSONNEL PSYCHOLOGY,"8,554",6.548,0.006010
683,JOURNAL OF INDUSTRIAL ECOLOGY,"6,561",6.539,0.006570
684,AMERICAN PSYCHOLOGIST,"27,026",6.536,0.012770
685,JOURNAL OF NANOBIOTECHNOLOGY,"4,376",6.518,0.005910
686,Methods in Ecology and Evolution,"14,303",6.514,0.035310
687,ULTRASONICS SONOCHEMISTRY,"19,708",6.513,0.021010
688,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,"41,245",6.502,0.050790
689,NEUROSCIENTIST,"5,187",6.500,0.007240
689,NUTRITION REVIEWS,"8,817",6.500,0.008590
691,CELLULAR AND MOLECULAR LIFE SCIENCES,"26,128",6.496,0.036990
692,Engineering,"2,011",6.495,0.004680
693,INTERNATIONAL JOURNAL OF PLASTICITY,"13,193",6.490,0.013490
694,Review of Environmental Economics and Policy,"1,308",6.487,0.003520
695,JOURNAL OF ABNORMAL PSYCHOLOGY,"16,001",6.484,0.014170
696,CORROSION SCIENCE,"44,347",6.479,0.029410
697,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,"25,317",6.471,0.029100
698,Science Signaling,"12,736",6.467,0.026600
699,AMERICAN JOURNAL OF PUBLIC HEALTH,"41,022",6.464,0.058580
699,AMERICAN JOURNAL OF PUBLIC HEALTH,"41,022",6.464,0.058580
699,Clinical & Translational Immunology,"1,082",6.464,0.003900
702,ECOGRAPHY,"12,570",6.455,0.019120
703,Eurosurveillance,"8,874",6.454,0.024990
704,Molecular Metabolism,"4,680",6.448,0.017670
705,GLOBAL ECOLOGY AND BIOGEOGRAPHY,"12,959",6.446,0.022400
706,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,"27,184",6.444,0.023700
707,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,"3,317",6.437,0.005910
708,Stem Cells Translational Medicine,"5,639",6.429,0.013870
709,CRITICAL CARE,"24,450",6.407,0.040930
710,Annual Review of Sociology,"11,834",6.400,0.008360
710,CANCER AND METASTASIS REVIEWS,"6,247",6.400,0.005950
712,Green Energy & Environment,787,6.395,0.001640
713,JOURNAL OF SERVICE RESEARCH,"5,273",6.382,0.003640
714,IEEE TRANSACTIONS ON POWER ELECTRONICS,"51,670",6.373,0.072740
715,AMERICAN SOCIOLOGICAL REVIEW,"20,676",6.372,0.014160
716,PLANT CELL AND ENVIRONMENT,"25,833",6.362,0.025650
717,CLINICAL NUTRITION,"15,002",6.360,0.019410
718,Science China-Chemistry,"5,637",6.356,0.009460
719,PROGRESS IN SOLID STATE CHEMISTRY,"2,256",6.353,0.001120
720,Annual Review of Criminology,167,6.348,0.000710
721,ADDICTION,"19,861",6.343,0.030830
721,ADDICTION,"19,861",6.343,0.030830
723,Ecosystem Services,"7,796",6.330,0.010870
723,Ecosystem Services,"7,796",6.330,0.010870
725,Trauma Violence & Abuse,"2,709",6.325,0.004960
726,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,"15,798",6.319,0.027680
727,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,"75,715",6.315,0.026330
728,FERTILITY AND STERILITY,"37,580",6.312,0.039240
729,FOOD CHEMISTRY,"122,430",6.306,0.108750
730,Cell Death & Disease,"26,233",6.304,0.059690
731,JOURNAL OF ADVERTISING,"4,781",6.302,0.002970
732,MATERIALS & DESIGN,"60,066",6.289,0.085060
733,Molecular Ecology Resources,"10,868",6.286,0.019630
734,CELL BIOLOGY AND TOXICOLOGY,"1,941",6.284,0.001660
735,RENEWABLE ENERGY,"50,113",6.274,0.062410
736,Acta Neuropathologica Communications,"4,070",6.270,0.014740
737,CURRENT OPINION IN NEUROBIOLOGY,"14,957",6.263,0.028770
738,EMERGING INFECTIOUS DISEASES,"30,705",6.259,0.056000
739,CEMENT & CONCRETE COMPOSITES,"17,419",6.257,0.016980
740,Cell Discovery,"1,159",6.255,0.005560
741,CRITICAL REVIEWS IN PLANT SCIENCES,"3,797",6.235,0.002210
742,MICROCHIMICA ACTA,"15,944",6.232,0.018500
743,European Respiratory Review,"2,950",6.220,0.006680
744,PLoS Pathogens,"44,617",6.218,0.099850
745,ELECTROCHIMICA ACTA,"118,897",6.215,0.124810
746,JOURNAL OF CONSUMER RESEARCH,"22,941",6.207,0.012310
747,GENOMICS,"9,595",6.205,0.005780
747,JCI Insight,"7,697",6.205,0.034430
747,JOURNAL OF MEDICINAL CHEMISTRY,"74,894",6.205,0.071920
750,Strategic Entrepreneurship Journal,"1,938",6.200,0.002240
751,JAMA Ophthalmology,"5,821",6.198,0.022250
752,REVIEWS IN ENDOCRINE & METABOLIC DISORDERS,"2,429",6.192,0.003700
753,DRUGS,"11,128",6.189,0.014210
754,Biomaterials Science,"6,409",6.183,0.012380
755,APPLIED SURFACE SCIENCE,"116,685",6.182,0.132450
756,GONDWANA RESEARCH,"14,559",6.174,0.025800
757,FREE RADICAL BIOLOGY AND MEDICINE,"42,667",6.170,0.036900
758,Advances in Ecological Research,"2,211",6.167,0.001780
759,CHEMICAL RECORD,"3,912",6.163,0.007260
760,Soft Robotics,"1,627",6.160,0.004450
761,METABOLISM-CLINICAL AND EXPERIMENTAL,"14,785",6.159,0.015760
762,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,"9,326",6.155,0.011620
763,CHINESE JOURNAL OF CATALYSIS,"7,240",6.146,0.009960
764,Earths Future,"2,369",6.141,0.009850
764,PLANT JOURNAL,"46,465",6.141,0.042370
766,JOURNAL OF GASTROENTEROLOGY,"7,522",6.132,0.010550
767,Cancers,"10,442",6.126,0.018750
768,Future Generation Computer Systems-The International Journal of eScience,"13,727",6.125,0.016080
768,SPACE SCIENCE REVIEWS,"12,282",6.125,0.025080
770,IEEE Transactions on Robotics,"14,259",6.123,0.014260
771,Oncogenesis,"2,775",6.119,0.007750
772,Alzheimers Research & Therapy,"3,876",6.116,0.011660
773,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,"6,627",6.112,0.005140
773,MEDICAL JOURNAL OF AUSTRALIA,"11,075",6.112,0.011080
775,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,"1,802",6.105,0.001650
776,Photonics Research,"3,455",6.099,0.009490
776,Wiley Interdisciplinary Reviews-Climate Change,"3,703",6.099,0.009630
776,Wiley Interdisciplinary Reviews-Climate Change,"3,703",6.099,0.009630
779,Science China-Materials,"2,653",6.098,0.005390
780,Environmental Research Letters,"19,933",6.096,0.058750
781,Current Climate Change Reports,918,6.095,0.004870
782,BIOMACROMOLECULES,"38,864",6.092,0.031350
783,Annual Review of Animal Biosciences,955,6.091,0.002660
783,Bioengineering & Translational Medicine,595,6.091,0.001660
783,ORGANIC LETTERS,"101,102",6.091,0.124070
786,Tissue Engineering Part B-Reviews,"3,594",6.089,0.004160
787,BMJ Quality & Safety,"5,825",6.084,0.015400
787,BMJ Quality & Safety,"5,825",6.084,0.015400
789,ENERGY,"79,807",6.082,0.106730
790,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,"13,918",6.077,0.026540
791,IEEE TRANSACTIONS ON POWER SYSTEMS,"41,609",6.074,0.050330
792,IEEE TRANSACTIONS ON MULTIMEDIA,"9,000",6.051,0.019770
793,IEEE Transactions on Emerging Topics in Computing,"1,621",6.043,0.003540
794,ACS Macro Letters,"10,864",6.042,0.025350
795,EPILEPSIA,"26,560",6.040,0.029830
796,JOURNAL OF CLINICAL ANESTHESIA,"4,858",6.039,0.007200
797,Neurotherapeutics,"4,998",6.035,0.009530
798,Global Food Security-Agriculture Policy Economics and Environment,"1,660",6.034,0.004510
799,Circulation-Heart Failure,"6,773",6.033,0.018530
800,Stem Cell Reports,"7,834",6.032,0.033820
801,Journal of Innovation & Knowledge,349,6.027,0.000390
802,STEM CELLS,"20,555",6.022,0.024110
803,JOURNAL OF PATHOLOGY,"16,307",6.021,0.017910
804,Computational and Structural Biotechnology Journal,"1,954",6.018,0.004980
805,IEEE Transactions on Information Forensics and Security,"10,916",6.013,0.019580
806,Cold Spring Harbor Perspectives in Medicine,"7,647",6.000,0.016790
806,PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,"1,131",6.000,0.000710
